Date,High,Low,Open,Volume From,Volume To,Close,Currency Pair
09/10/2021,55485.2,53696.32,53949.29,14593.95,"799,607,238.61",54968.04,BTC/USD
10/10/2021,56473.63,54131.52,54968.04,23094.98,"1,276,001,425.96",54700.24,BTC/USD
11/10/2021,57825.98,54448.68,54700.24,31803.75,"1,805,863,526.52",57498.8,BTC/USD
12/10/2021,57646.93,54098.22,57498.8,33966.65,"1,913,353,762.18",56010.9,BTC/USD
13/10/2021,57768.98,54279.61,56010.9,34054.43,"1,906,230,334.00",57369.0,BTC/USD
14/10/2021,58514.76,56854.38,57369.0,28061.61,"1,617,497,364.76",57359.21,BTC/USD
15/10/2021,62889.98,56885.66,57359.21,62053.36,"3,737,889,743.83",61684.96,BTC/USD
16/10/2021,62341.46,60153.79,61684.96,22943.96,"1,404,879,137.37",60877.77,BTC/USD
17/10/2021,61698.1,59050.3,60877.77,23336.32,"1,414,498,881.98",61520.54,BTC/USD
18/10/2021,62662.72,59925.93,61520.54,50489.09,"3,113,486,441.70",62038.16,BTC/USD
19/10/2021,64468.7,61410.11,62038.16,42983.11,"2,706,420,467.09",64283.97,BTC/USD
20/10/2021,66980.66,63543.7,64283.97,45364.94,"2,978,059,285.56",66021.02,BTC/USD
21/10/2021,66645.73,62076.16,66021.02,62097.42,"3,962,470,063.85",62283.96,BTC/USD
22/10/2021,63731.17,60017.23,62283.96,40476.42,"2,504,718,475.20",60693.59,BTC/USD
23/10/2021,61733.43,59705.11,60693.59,16232.5,"990,360,071.85",61313.09,BTC/USD
24/10/2021,61481.25,59529.34,61313.09,19158.07,"1,158,838,824.68",60863.56,BTC/USD
25/10/2021,63709.97,60658.35,60863.56,24693.91,"1,549,308,691.98",63089.04,BTC/USD
26/10/2021,63290.04,59868.68,63089.04,28107.19,"1,738,003,094.57",60315.68,BTC/USD
27/10/2021,61473.0,58128.18,60315.68,45852.35,"2,719,093,218.08",58464.42,BTC/USD
28/10/2021,62252.08,58145.43,58464.42,51251.1,"3,090,102,767.38",60610.11,BTC/USD
